Title,Year,DOI
Generating human-like reaching movements with a humanoid robot: A computational approach,2013,10.1016/j.jocs.2012.08.001
Voxel robot: A pneumatic robot with deformable morphology,2014,10.1007/978-3-319-08864-8_22
Reinforcement learning to adjust parametrized motor primitives to new situations,2014,10.1007/978-3-319-03194-1_5
Self-discovery of motor primitives and learning grasp affordances,2012,10.1109/IROS.2012.6385639
Advances in Robot Programming by Demonstration,2010,10.1007/s13218-010-0060-0
Robot service framework based on big data technology,2014,10.6138/JIT.2014.15.4.09
Learning motor skills: From algorithms to robot experiments,2014,10.1515/itit-2014-1039
A goal-orientation framework for self-organizing control,2013,10.1142/S0219525913500021
Conceptual similarity as a key to high-level robot programming by demonstration,2012,
A preliminary experiment for transferring human motion to a musculoskeletal robot - Decomposition of human running based on muscular coordination,2011,10.1109/IROS.2011.6048062
Human-Robot synchrony: Flexible assistance using adaptive oscillators,2011,10.1109/TBME.2010.2089629
Probabilistic model-based imitation learning,2013,10.1177/1059712313491614
Biomimetic control for redundant and high degree of freedom limb systems: Neurobiological modularity,2011,10.12989/sss.2011.7.3.169
Learning to select and generalize striking movements in robot table tennis,2013,10.1177/0278364912472380
Humanoid muscle movement representation,2011,10.1109/Humanoids.2011.6100892
On using guided motor primitives to execute Continuous Goal-Directed Actions,2014,10.1109/ROMAN.2014.6926320
"5th International Conference on Mechanical and Aerospace Engineering, ICMAE 2014",2014,
Postural synergies and neural network for autonomous grasping: A tool for dextrous prosthetic and robotic hands,2013,10.1007/978-3-642-34546-3_76
"Bio-inspired vertebral column, compliance and semi-passive dynamics in a lightweight humanoid robot",2011,10.1109/IROS.2011.6048712
On the adjustment of the weights of the levenshtein distance for the description of sequences of rhythmic motor primitives,2015,10.12988/ces.2015.55158
Neural primitives for motion control,2004,10.1109/JOE.2004.833102
A neural network model for coordination of hand gesture during reach to grasp,2006,10.1016/j.neunet.2005.07.014
Cortical control of motor learning,2004,
Deriving action and behavior primitives from human motion data,2002,
Interactive human pose and action recogniton using dynamical motion primitives,2007,10.1142/S0219843607001060
Motor primitive and sequence self-organization in a hierarchical recurrent neural network,2004,10.1016/j.neunet.2004.08.005
Learning movement sequences from demonstration,2002,10.1109/DEVLRN.2002.1011867
Policy learning - A unified perspective with applications in robotics,2008,10.1007/978-3-540-89722-4_17
An action generation model using time series prediction,2007,10.1109/IJCNN.2007.4371025
Learning attractor landscapes for learning motor primitives,2003,
Standing up with motor primitives,2006,10.1007/3-540-26415-9_46
A neurobiological perspective on humanoid robot design,2000,10.1109/5254.867914
Neurobiological and neurorobotic approaches to control architectures for a humanoid motor system,2001,10.1016/S0921-8890(01)00159-2
Design Expressive Behaviors for Robotic Puppet,2002,
Synthesizing Movements for Computer Game Characters,2004,10.1007/978-3-540-28649-3_22
